,City,Latitude,Longitude,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,hofn,64.25,-15.21,39.2,93,20,16.11,IS,1603731786
393,mumford,5.26,-0.76,79.66,85,83,11.14,GH,1603731966
394,saint-pierre,-21.34,55.48,71.6,88,53,3.36,RE,1603731823
395,batemans bay,-35.72,150.18,52,97,100,1.99,AU,1603731967
396,durban,-29.86,31.03,68,82,90,5.82,ZA,1603731677
397,buala,-8.14,159.59,79.18,79,76,2.91,SB,1603731844
398,bilibino,68.05,166.44,11.16,94,100,3.06,RU,1603731967
399,egvekinot,66.32,-179.17,19.31,95,31,2.04,RU,1603731967
400,fuengirola,36.54,-4.62,64.4,45,20,14.99,ES,1603731968
401,krasnoshchekovo,51.67,82.73,39.97,69,100,7.56,RU,1603731968
402,poum,-20.23,164.02,75.97,80,1,15.99,NC,1603731968
403,port macquarie,-31.43,152.92,57.99,87,62,14.43,AU,1603731839
404,ozd,48.22,20.3,55.92,84,31,6.93,HU,1603731968
405,tela,15.78,-87.45,80.6,88,90,2.24,HN,1603731968
406,nouakchott,18.09,-15.98,104,7,0,17.22,MR,1603731920
407,caconda,-13.73,15.07,73.26,56,87,11.45,AO,1603731969
409,gurupa,-1.41,-51.64,97.34,38,19,3.22,BR,1603731969
410,auriflama,-20.69,-50.55,90.23,40,100,5.68,BR,1603731969
411,saint-georges,12.06,-61.75,86,74,20,20.8,GD,1603731969
412,cam ranh,11.92,109.16,78.8,100,40,1.12,VN,1603731969
